cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,182,11415,3.202903e-05,44.7,1,4096x4096x4096,100,1,1,0
2,390,27286,3.4498054e-05,56.7,2,4096x4096x4096,100,1,1,0
3,511,34420,3.6285637e-05,128.4,2,4096x4096x4096,100,1,1,0
4,708,47825,3.2490574e-05,195.8,3,4096x4096x4096,100,1,1,0
5,859,55257,3.690435e-05,171.8,4,4096x4096x4096,100,1,1,0
6,955,61381,5.315699e-05,195.4,3,4096x4096x4096,30,0,0,0
7,986,63038,3.1409105e-05,195.8,3,4096x4096x4096,300,0,0,0
8,1383,71199,3.6085785e-05,197.3,5,4096x4096x4096,100,1,1,0
9,1544,82035,3.369112e-05,197.9,6,4096x4096x4096,100,1,1,0
10,1715,89755,3.4978566e-05,192.1,6,4096x4096x4096,100,1,1,0
11,2040,111752,3.6026613e-05,197.0,7,4096x4096x4096,100,1,1,0
12,2434,135416,4.1282226e-05,125.4,8,4096x4096x4096,100,1,1,0
13,2617,147945,3.4536297e-05,198.0,9,4096x4096x4096,100,1,1,0
14,2721,153059,0.70550305,200.8,6,4096x4096x4096,100,1,0,0
15,2773,155452,4.7051995e-05,192.2,6,4096x4096x4096,100,1,1,0
16,3041,172149,4.024809e-05,197.4,6,4096x4096x4096,100,1,1,0
17,3245,186666,3.3295957e-05,178.2,10,4096x4096x4096,100,1,1,0
18,3480,201103,3.9126397e-05,197.6,9,4096x4096x4096,100,1,1,0
19,3705,216084,4.188212e-05,196.7,11,4096x4096x4096,100,1,1,0
20,3925,220940,3.481127e-05,206.3,9,4096x4096x4096,600,0,0,0
21,4645,260812,3.2659264e-05,197.9,9,4096x4096x4096,400,0,0,0
