cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,234,16780,3.353334e-05,70.1,1,4096x4096x4096,100,1,1,0
2,395,28826,5.1797324e-05,139.4,2,4096x4096x4096,100,1,1,0
3,639,48278,4.4305387e-05,142.1,3,4096x4096x4096,100,1,1,0
4,807,59480,3.6785576e-05,124.1,4,4096x4096x4096,100,1,1,0
5,1060,78566,3.9118557e-05,133.2,5,4096x4096x4096,100,1,1,0
6,1396,102755,3.6986836e-05,121.1,6,4096x4096x4096,100,1,1,0
7,1628,118384,4.0897157e-05,140.4,7,4096x4096x4096,1,0,0,0
8,1968,140216,3.408372e-05,114.5,8,4096x4096x4096,1,0,0,0
9,2124,149020,4.201465e-05,122.2,9,4096x4096x4096,1,0,0,0
10,2293,161063,0.018848432,148.3,10,4096x4096x4096,1,0,0,0
11,2391,167935,0.020794675,139.7,11,4096x4096x4096,1,0,0,0
12,2557,179395,0.020452967,144.2,12,4096x4096x4096,1,0,0,0
13,2773,193798,0.0186733,147.2,13,4096x4096x4096,100,1,1,0
14,2930,205941,0.01818158,146.7,14,4096x4096x4096,1,0,0,0
15,3060,214061,0.025343336,154.1,15,4096x4096x4096,1,0,0,0
16,3144,219513,0.018914327,151.6,15,4096x4096x4096,100,1,1,0
17,3334,232987,0.020191457,116.5,16,4096x4096x4096,1,0,0,0
18,3457,240890,0.023137113,142.7,17,4096x4096x4096,1,0,0,0
19,3585,249488,4.0204275e-05,138.5,18,4096x4096x4096,1,0,0,0
20,3699,256330,0.018409988,150.2,19,4096x4096x4096,100,1,1,0
21,3914,270035,0.033406865,151.2,15,4096x4096x4096,100,1,1,0
22,4328,292803,0.016016863,154.2,15,4096x4096x4096,100,1,1,0
23,4445,300941,0.016725501,151.2,20,4096x4096x4096,1,0,0,0
24,4664,315754,0.017325424,76.2,21,4096x4096x4096,1,0,0,0
25,4718,317916,0.016496291,151.4,15,4096x4096x4096,100,1,1,0
26,4841,324945,0.021303704,111.7,22,4096x4096x4096,1,0,0,0
27,4963,330451,3.570567e-05,142.8,1,4096x4096x4096,100,1,1,0
28,4998,332207,0.021757925,151.5,15,4096x4096x4096,100,1,1,0
29,5137,342438,0.017058818,122.1,23,4096x4096x4096,1,0,0,0
30,5192,344557,0.020521807,151.5,15,4096x4096x4096,100,1,1,0
31,5358,353381,0.036756236,129.9,24,4096x4096x4096,1,0,0,0
32,5425,355704,0.016396053,151.3,15,4096x4096x4096,100,1,1,0
