cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,163,11583,4.192023e-05,35.8,1,4096x4096x4096,100,1,1,0
2,269,18435,3.579221e-05,47.6,2,4096x4096x4096,100,1,1,0
3,524,37888,3.9735307e-05,47.9,3,4096x4096x4096,100,1,1,0
4,554,38921,3.9186558e-05,0.2,3,4096x4096x4096,1,0,0,0
5,754,53922,3.636546e-05,136.2,4,4096x4096x4096,100,1,1,0
6,917,65730,3.3471264e-05,189.8,5,4096x4096x4096,100,1,1,0
7,1054,72503,3.485865e-05,182.3,6,4096x4096x4096,100,1,1,0
8,1136,76157,3.267161e-05,163.9,7,4096x4096x4096,100,1,1,0
9,1227,81115,3.1747077e-05,193.8,8,4096x4096x4096,100,1,1,0
10,1332,88505,3.2559547e-05,164.3,9,4096x4096x4096,100,1,1,0
11,1493,96851,3.4051565e-05,82.7,10,4096x4096x4096,100,1,1,0
12,1597,102707,3.2343163e-05,163.2,11,4096x4096x4096,1,0,0,0
13,1753,111869,3.6938898e-05,145.4,12,4096x4096x4096,1,0,0,0
14,1850,117303,1.7832028,202.6,13,4096x4096x4096,100,1,0,0
15,2015,129607,3.4815504e-05,204.0,14,4096x4096x4096,1,0,0,0
16,2082,132125,5.7432942e-05,202.1,15,4096x4096x4096,100,1,1,0
17,2162,136155,4.031677e-05,189.4,17,4096x4096x4096,1,0,0,0
18,2303,142550,3.9057046e-05,193.8,18,4096x4096x4096,100,1,1,0
19,2519,157509,3.8671435e-05,202.1,19,4096x4096x4096,100,1,1,0
20,2622,164211,0.021798056,206.1,20,4096x4096x4096,100,1,1,0
21,2714,169819,0.020097246,186.9,21,4096x4096x4096,1,0,0,0
22,2930,183263,0.02100437,207.4,22,4096x4096x4096,1,0,0,0
23,3074,192007,0.020180289,167.9,23,4096x4096x4096,1,0,0,0
24,3192,196020,3.0997304e-05,203.0,14,4096x4096x4096,100,1,1,0
25,3323,205349,3.4805103e-05,195.4,24,4096x4096x4096,100,1,1,0
26,3651,223685,0.019324088,207.5,22,4096x4096x4096,100,1,1,0
27,3718,227149,0.021192731,207.5,25,4096x4096x4096,100,1,1,0
28,3846,233790,0.017524404,208.3,22,4096x4096x4096,100,1,1,0
