cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,173,11477,4.2009488e-05,34.9,1,4096x4096x4096,100,1,1,0
2,350,24508,3.8859594e-05,91.1,2,4096x4096x4096,100,1,1,0
3,492,34991,3.0583462e-05,92.3,3,4096x4096x4096,100,1,1,0
4,703,49065,2.1668827e-06,0.1,4,256x256x256,1,0,0,0
5,719,49796,3.9244733e-05,2.2,4,4096x4096x4096,1,0,0,0
6,844,58056,5.069744e-05,92.5,4,4096x4096x4096,100,1,1,0
7,955,64910,3.434139e-05,99.4,4,4096x4096x4096,100,1,1,0
8,976,65284,3.820601e-05,99.3,4,4096x4096x4096,100,1,1,0
9,1156,77017,4.062076e-05,94.6,4,4096x4096x4096,100,1,1,0
10,1393,88330,3.388687e-05,99.3,4,4096x4096x4096,100,1,1,0
11,1585,100768,0.04852657,128.6,5,4096x4096x4096,100,1,1,0
12,1743,111396,3.399114e-05,99.4,5,4096x4096x4096,100,1,1,0
13,1874,118977,4.3491313e-05,129.0,6,4096x4096x4096,100,1,1,0
14,2005,125323,3.658566e-05,159.1,7,4096x4096x4096,100,1,1,0
15,2166,133529,3.9393704e-05,156.7,8,4096x4096x4096,100,1,1,0
16,2250,135942,3.3529373e-05,137.0,9,4096x4096x4096,100,1,1,0
17,2582,154163,0.02865221,161.8,10,4096x4096x4096,100,1,1,0
18,2972,170947,5.5535613e-05,156.3,11,4096x4096x4096,100,1,1,0
19,3168,181128,3.5628374e-05,190.8,12,4096x4096x4096,100,1,1,0
20,3278,185957,3.5041594e-05,192.3,13,4096x4096x4096,100,1,1,0
21,3514,198067,4.6986635e-05,136.7,14,4096x4096x4096,100,1,1,0
22,4154,220352,3.7327267e-05,192.1,16,4096x4096x4096,100,1,1,0
23,4609,246798,5.3041083e-05,192.3,17,4096x4096x4096,100,1,1,0
24,4734,253936,5.1270614e-05,192.1,13,4096x4096x4096,100,1,1,0
25,5226,277942,3.5113535e-05,145.5,18,4096x4096x4096,100,1,1,0
26,6120,321334,4.1851963e-05,194.1,20,4096x4096x4096,100,1,1,0
27,6264,326591,4.0884308e-05,194.1,22,4096x4096x4096,100,1,1,0
28,6355,331616,3.1830565e-05,194.1,20,4096x4096x4096,100,1,1,0
29,6821,360284,3.334668e-05,194.1,20,4096x4096x4096,100,1,1,0
30,7056,375836,0.00017678685,142.6,24,4096x4096x4096,100,1,1,0
31,7110,378268,3.4249406e-05,195.0,20,4096x4096x4096,100,1,1,0
32,7246,383104,3.713034e-05,194.3,20,4096x4096x4096,100,1,1,0
33,7432,394285,3.2156542e-05,194.8,20,4096x4096x4096,100,1,1,0
34,8598,450854,3.5770932e-05,204.7,26,4096x4096x4096,100,1,1,0
35,8644,451815,3.5543337e-05,204.8,26,4096x4096x4096,1,0,0,0
