cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,537,45798,4.1274034e-05,37.4,1,4096x4096x4096,100,1,1,0
2,785,63763,5.885536e-05,107.2,2,4096x4096x4096,100,1,1,0
3,823,65754,3.8337326e-05,106.5,2,4096x4096x4096,1,0,0,0
4,3330,212112,4.447381e-05,172.5,10,4096x4096x4096,100,1,1,0
5,3365,214599,3.56191e-05,172.1,10,4096x4096x4096,100,1,1,0
