cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
1,206,13240,4.1500116e-05,63.8,1,4096x4096x4096,100,1,1,0
2,474,33848,3.549435e-05,95.6,2,4096x4096x4096,100,1,1,0
3,499,34994,3.3574706e-05,95.5,2,4096x4096x4096,1,0,0,0
4,632,44878,3.9010538e-05,119.0,3,4096x4096x4096,100,1,1,0
5,786,53541,3.52847e-05,137.4,4,4096x4096x4096,100,1,1,0
6,1317,88732,4.6166933e-05,157.2,5,4096x4096x4096,100,1,1,0
7,1492,98439,4.2046864e-05,164.2,6,512x512x512,1,0,0,0
8,1704,110611,3.555742e-05,170.9,7,512x512x512,1,0,0,0
9,1797,116799,3.6859117e-05,151.6,8,4096x4096x4096,1,0,0,0
10,1998,130931,5.4212825e-05,170.2,9,512x512x512,1,0,0,0
11,2292,149033,3.41581e-05,128.2,10,512x512x512,1,0,0,0
12,2477,160584,4.3087854e-05,164.3,11,512x512x512,1,0,0,0
13,2625,169062,3.7651316e-05,160.2,11,512x512x512,1,0,0,0
14,2835,183064,0.017022,160.4,12,4096x4096x4096,1,0,0,0
15,2980,191863,0.027670145,163.5,13,512x512x512,1,0,0,0
16,3559,229886,3.1548625e-05,169.0,14,512x512x512,1,0,0,0
17,3709,239760,5.0984494e-05,166.0,11,4096x4096x4096,100,1,1,0
18,3759,242536,3.9927098e-05,173.8,11,4096x4096x4096,100,1,1,0
19,4086,264706,0.87500066,213.1,15,4096x4096x4096,100,1,0,0
20,4241,275045,3.3724107e-05,178.7,15,512x512x512,1,0,0,0
21,4387,283484,3.633603e-05,178.3,15,4096x4096x4096,100,1,1,0
22,4994,325360,3.789511e-05,179.0,15,4096x4096x4096,1,0,0,0
23,5359,353958,0.0025428352,6.9,16,512x512x512,5,0,0,0
24,5391,354849,0.00018779773,166.3,16,4096x4096x4096,100,1,1,0
25,5564,366301,0.00021049017,165.4,16,512x512x512,100,0,0,0
26,5609,368347,3.3522178e-05,178.1,15,4096x4096x4096,100,1,1,0
27,5689,372931,3.8223006e-05,178.9,15,4096x4096x4096,100,1,1,0
28,6362,417881,0.025923287,170.4,17,512x512x512,100,0,0,0
29,6686,438477,3.4654724e-05,166.8,15,4096x4096x4096,100,1,1,0
30,6743,441214,4.0769388e-05,178.2,15,4096x4096x4096,100,1,1,0
31,6796,442966,3.2822434e-05,178.2,15,4096x4096x4096,100,1,1,0
32,6910,449222,3.9479884e-05,178.2,15,4096x4096x4096,100,1,1,0
33,7473,487551,3.3575074e-05,178.2,15,4096x4096x4096,100,1,1,0
34,7647,499007,3.6212827e-05,178.7,18,4096x4096x4096,100,1,1,0
35,7739,504351,3.4662105e-05,178.2,15,4096x4096x4096,100,1,1,0
36,8684,560132,3.1736246e-05,179.2,15,4096x4096x4096,100,1,1,0
37,9669,626596,0.0908539,9.6,18,512x512x512,5,0,0,0
38,9863,642197,5.788759e-06,8.3,18,512x512x512,5,0,0,0
39,10147,666470,3.3304877e-06,8.9,18,512x512x512,5,0,0,0
40,10268,674094,4.441147e-06,5.2,18,512x512x512,5,0,0,0
41,10362,680213,3.4050033e-06,8.6,18,512x512x512,5,0,0,0
42,10516,692288,3.955654e-06,9.6,18,512x512x512,5,0,0,0
43,10643,701134,4.0776464e-05,178.2,15,4096x4096x4096,100,1,1,0
44,10766,710223,4.065942e-06,9.9,18,512x512x512,5,0,0,0
45,10838,713665,4.4375338e-05,200.2,18,4096x4096x4096,1,0,0,0
46,10942,717946,4.5473334e-05,200.9,18,4096x4096x4096,100,1,1,0
47,11011,721559,3.798223e-05,200.3,18,4096x4096x4096,1,0,0,0
48,11115,727190,0.1905938,200.3,18,4096x4096x4096,100,1,0,0
49,11155,728971,3.554577e-05,201.1,18,4096x4096x4096,100,1,1,0
50,11279,737247,4.0445524e-05,200.9,18,2048x2048x2048,1,0,0,0
51,11437,749170,3.458186e-05,200.5,18,4096x4096x4096,100,1,1,0
52,11540,754744,3.7023015e-06,4.6,19,512x512x512,5,0,0,0
53,11665,763492,5.697887e-05,201.5,18,4096x4096x4096,100,1,1,0
54,11761,770781,3.3749693e-06,9.4,18,512x512x512,5,0,0,0
55,11806,772865,3.116484e-05,201.0,18,4096x4096x4096,100,1,1,0
56,11897,777541,7.184445e-05,201.6,18,4096x4096x4096,100,1,1,0
57,12018,784890,3.4123423e-05,200.7,18,4096x4096x4096,100,1,1,0
58,12058,787104,3.4257977e-05,201.4,18,4096x4096x4096,100,1,1,0
59,12309,803656,3.2856915,13.0,19,512x512x512,5,0,0,0
60,12449,813027,3.9041306e-06,13.5,19,512x512x512,5,0,0,0
61,12596,823298,1.0,33893.4,18,4096x4096x4096,100,1,0,0
62,12652,826968,3.294997e-05,200.3,18,4096x4096x4096,100,1,1,0
63,12743,832612,4.5628887e-05,200.6,18,4096x4096x4096,100,1,1,0
64,12923,845437,5.3542117e-06,4.6,19,512x512x512,5,0,0,0
65,13020,852703,5.3439994e-06,8.2,19,512x512x512,5,0,0,0
66,13082,855594,3.721957e-05,201.5,18,4096x4096x4096,100,1,1,0
67,13215,863763,3.2126714e-05,183.6,18,4096x4096x4096,20,0,0,0
68,13256,866336,2.0425982e-06,1.7,18,256x256x256,5,0,0,0
69,13342,870815,3.3200973e-05,146.3,18,4096x4096x4096,100,1,1,0
70,13442,877075,3.1658103e-05,200.3,18,1024x1024x1024,100,0,0,0
71,13461,877678,3.443985e-05,199.7,18,4096x4096x4096,100,1,1,0
72,13589,886103,3.28282e-05,201.4,18,512x512x512,5,0,0,0
