cycle,wall_clock,tokens,correctness,tflops,version,shape,iters,canonical,scored,invalid
91,18854,767499,0.00015134075,214.4,35,4096x4096x4096,1,0,0,0
92,18995,775397,0.00016581162,217.5,36,4096x4096x4096,1,0,0,0
93,19113,782117,0.00014824832,217.9,36,4096x4096x4096,1,0,0,0
94,19201,786530,0.00012811855,215.8,36,4096x4096x4096,1,0,0,0
95,19289,789942,0.00015840583,225.6,37,4096x4096x4096,100,1,1,0
96,19509,802587,0.00014143142,218.6,38,4096x4096x4096,1,0,0,0
97,19582,806265,3.448731e-05,213.0,38,4096x4096x4096,1,0,0,0
98,19626,808305,3.5748315e-05,215.4,38,4096x4096x4096,1,0,0,0
99,19663,809755,0.00014033582,217.9,38,4096x4096x4096,1,0,0,0
100,19748,814289,0.000133686,225.2,39,4096x4096x4096,1,0,0,0
101,19762,814682,0.00013037464,227.6,39,4096x4096x4096,100,1,1,0
102,19777,814975,0.0001400315,228.3,39,4096x4096x4096,100,1,1,0
103,19927,823436,0.00013020264,224.4,40,4096x4096x4096,1,0,0,0
104,19995,826461,0.00016439617,226.3,41,4096x4096x4096,1,0,0,0
105,20009,826718,0.00014294259,228.1,41,4096x4096x4096,100,1,1,0
106,20021,827033,0.00013836368,228.5,41,4096x4096x4096,100,1,1,0
107,20117,832247,0.00016546852,227.5,42,4096x4096x4096,1,0,0,0
108,20134,832561,0.00027076295,229.7,42,4096x4096x4096,100,1,1,0
109,20175,833797,0.00014376496,228.4,43,4096x4096x4096,100,1,1,0
110,20273,838127,0.00027677044,227.5,44,4096x4096x4096,1,0,0,0
111,20285,838288,0.00015584992,229.0,44,4096x4096x4096,100,1,1,0
112,20369,842983,0.00013432937,226.0,45,4096x4096x4096,1,0,0,0
113,20513,851378,0.0001192871,129.1,42,2048x2048x2048,3,0,0,0
114,20687,860019,1.5829746,228.3,47,4096x4096x4096,1,0,0,0
115,20782,864163,0.00019992828,228.6,46,4096x4096x4096,100,1,1,0
116,20888,869519,0.0001783969,213.4,48,4096x4096x4096,1,0,0,0
117,20922,870058,0.0001641247,228.7,42,4096x4096x4096,100,1,1,0
